10.                                   | maxdis in free format
       0.0      6.20     3.580
      16.0      6.20     3.580CONR
      16.0      6.70     3.868
      40.0      6.70     3.868MOHO
      40.0      8.15     4.705
      95.0      8.15     4.705
      95.0      8.25     4.763
     210.0      8.30     4.792
